"area","source_file","key","plural_category","plural_category_required_for_locales","english_source","context","placeholders_keep_exact","glossary_terms_to_review","current_de","current_es","current_fr","current_ja","current_ko","current_pl","current_pt-br","current_pt-pt","current_ru","current_zh-cn","current_zh-tw"
"manifest","package.nls.json","command.selectRepository","","","Select Repository","VS Code command palette/menu command label.","","","Repository auswählen","Seleccionar repositorio","Sélectionner un dépôt","リポジトリを選択","리포지토리 선택","Wybierz repozytorium","Selecionar repositório","Selecionar repositório","Выбрать репозиторий","选择仓库","選取存放庫"
"manifest","package.nls.json","command.checkout","","","Checkout","VS Code command palette/menu command label.","","Checkout","Auschecken","Checkout","Checkout","チェックアウト","체크아웃","Checkout","Checkout","Checkout","Checkout","检出","簽出"
"manifest","package.nls.json","command.newBranchFrom","","","New Branch from...","VS Code command palette/menu command label.","","Branch","Neuer Branch aus...","Nueva rama desde...","Nouvelle branche depuis...","ここから新規ブランチ...","여기에서 새 브랜치...","Nowa gałąź z...","Nova branch a partir de...","Novo ramo a partir de...","Новая ветка от...","从此处新建分支...","從此處建立新分支..."
"manifest","package.nls.json","command.checkoutAndRebaseOntoCurrent","","","Checkout and Rebase onto Current","VS Code command palette/menu command label.","","Rebase; Checkout","Auschecken und auf aktuellen Branch rebasen","Checkout y rebase sobre la actual","Checkout et rebase sur la branche actuelle","チェックアウトして現在のブランチにリベース","체크아웃 후 현재 브랜치에 리베이스","Checkout i rebase na bieżącą","Checkout e rebase sobre a atual","Checkout e rebase sobre o atual","Checkout и rebase на текущую","检出并变基到当前分支","簽出並重定基底到目前分支"
"manifest","package.nls.json","command.rebaseCurrentOntoSelected","","","Rebase Current onto Selected","VS Code command palette/menu command label.","","Rebase","Aktuellen Branch auf ausgewählten Branch rebasen","Rebase de la actual sobre la seleccionada","Rebaser la branche actuelle sur la sélection","現在のブランチを選択項目にリベース","현재 브랜치를 선택 항목에 리베이스","Rebase bieżącej gałęzi na wybraną","Rebase da atual sobre a selecionada","Rebase do atual sobre o selecionado","Rebase текущей ветки на выбранную","将当前分支变基到所选分支","將目前分支重定基底到選取分支"
"manifest","package.nls.json","command.mergeIntoCurrent","","","Merge into Current","VS Code command palette/menu command label.","","Merge","In aktuellen Branch mergen","Fusionar en la actual","Fusionner dans la branche actuelle","現在のブランチにマージ","현재 브랜치에 병합","Scal z bieżącą gałęzią","Merge na atual","Merge no atual","Слить в текущую ветку","合并到当前分支","合併到目前分支"
"manifest","package.nls.json","command.update","","","Update","VS Code command palette/menu command label.","","","Aktualisieren","Actualizar","Mettre à jour","更新","업데이트","Aktualizuj","Atualizar","Atualizar","Обновить","更新","更新"
"manifest","package.nls.json","command.push","","","Push","VS Code command palette/menu command label.","","Push","Push","Push","Push","プッシュ","푸시","Push","Push","Push","Push","推送","推送"
"manifest","package.nls.json","command.rename","","","Rename...","VS Code command palette/menu command label.","","","Umbenennen...","Renombrar...","Renommer...","名前の変更...","이름 바꾸기...","Zmień nazwę...","Renomear...","Mudar o nome...","Переименовать...","重命名...","重新命名..."
"manifest","package.nls.json","command.delete","","","Delete","VS Code command palette/menu command label.","","","Löschen","Eliminar","Supprimer","削除","삭제","Usuń","Excluir","Eliminar","Удалить","删除","刪除"
"manifest","package.nls.json","command.rollback","","","Rollback","VS Code command palette/menu command label.","","","Rollback","Revertir","Restaurer","ロールバック","롤백","Wycofaj","Reverter","Reverter","Откатить","回滚","復原"
"manifest","package.nls.json","command.jumpToSource","","","Jump to Source","VS Code command palette/menu command label.","","","Zur Quelle springen","Ir al origen","Aller à la source","ソースへ移動","소스로 이동","Przejdź do źródła","Ir para o código-fonte","Ir para a origem","Перейти к источнику","跳转到源","跳至來源"
"manifest","package.nls.json","command.shelveChanges","","","Shelve Changes","VS Code command palette/menu command label.","","","Änderungen beiseitelegen","Guardar cambios en shelf","Mettre les changements en shelf","変更をシェルフ","변경 내용 셸브","Odłóż zmiany na shelf","Colocar alterações no shelf","Colocar alterações no shelf","Отложить изменения","搁置更改","擱置變更"
"manifest","package.nls.json","command.showHistory","","","Show History","VS Code command palette/menu command label.","","","Verlauf anzeigen","Mostrar historial","Afficher l'historique","履歴を表示","기록 표시","Pokaż historię","Mostrar histórico","Mostrar histórico","Показать историю","显示历史记录","顯示歷程記錄"
"manifest","package.nls.json","command.compareWithRevision","","","Compare with Revision","VS Code command palette/menu command label.","","","Mit Revision vergleichen","Comparar con revisión","Comparer avec la révision","リビジョンと比較","리비전과 비교","Porównaj z rewizją","Comparar com revisão","Comparar com revisão","Сравнить с ревизией","与修订比较","與修訂版本比較"
"manifest","package.nls.json","command.compareWithBranch","","","Compare with Branch","VS Code command palette/menu command label.","","Branch","Mit Branch vergleichen","Comparar con rama","Comparer avec la branche","ブランチと比較","브랜치와 비교","Porównaj z gałęzią","Comparar com branch","Comparar com ramo","Сравнить с веткой","与分支比较","與分支比較"
"manifest","package.nls.json","command.compareWithLocal","","","Compare with Local","VS Code command palette/menu command label.","","","Mit lokalem Stand vergleichen","Comparar con local","Comparer avec la version locale","ローカルと比較","로컬과 비교","Porównaj z lokalną wersją","Comparar com local","Comparar com local","Сравнить с локальной версией","与本地比较","與本機比較"
"manifest","package.nls.json","command.cherryPickSelectedChange","","","Cherry-pick Selected Change","VS Code command palette/menu command label.","","Cherry-pick","Ausgewählte Änderung cherry-picken","Cherry-pick del cambio seleccionado","Cherry-pick du changement sélectionné","選択した変更をチェリーピック","선택한 변경 내용 체리픽","Cherry-pick wybranej zmiany","Cherry-pick da alteração selecionada","Cherry-pick da alteração selecionada","Cherry-pick выбранного изменения","挑拣所选更改","挑選所選變更"
"manifest","package.nls.json","command.revertSelectedChange","","","Revert Selected Change","VS Code command palette/menu command label.","","","Ausgewählte Änderung zurücksetzen","Revertir cambio seleccionado","Rétablir le changement sélectionné","選択した変更を元に戻す","선택한 변경 내용 되돌리기","Odwróć wybraną zmianę","Reverter alteração selecionada","Reverter alteração selecionada","Отменить выбранное изменение","还原所选更改","還原所選變更"
"manifest","package.nls.json","command.refreshing","","","Refreshing...","VS Code command palette/menu command label.","","","Wird aktualisiert...","Actualizando...","Actualisation...","再読み込み中...","새로 고치는 중...","Odświeżanie...","Atualizando...","A atualizar...","Обновление...","正在刷新...","正在重新整理..."
"manifest","package.nls.json","command.openMergeConflict","","","Open Merge Conflict","VS Code command palette/menu command label.","","Merge","Merge-Konflikt öffnen","Abrir conflicto de fusión","Ouvrir le conflit de fusion","マージ競合を開く","병합 충돌 열기","Otwórz konflikt scalania","Abrir conflito de merge","Abrir conflito de merge","Открыть конфликт слияния","打开合并冲突","開啟合併衝突"
"manifest","package.nls.json","command.detectJetBrainsMergeTool","","","Detect JetBrains Merge Tool","VS Code command palette/menu command label.","","JetBrains; Merge","JetBrains-Merge-Tool erkennen","Detectar herramienta de fusión de JetBrains","Détecter l'outil de fusion JetBrains","JetBrains マージツールを検出","JetBrains 병합 도구 감지","Wykryj narzędzie scalania JetBrains","Detectar ferramenta de merge JetBrains","Detetar ferramenta de merge JetBrains","Обнаружить инструмент слияния JetBrains","检测 JetBrains 合并工具","偵測 JetBrains 合併工具"
"manifest","package.nls.json","command.openInJetBrainsMergeTool","","","Open in JetBrains Merge Tool","VS Code command palette/menu command label.","","JetBrains; Merge","Im JetBrains-Merge-Tool öffnen","Abrir en la herramienta de fusión de JetBrains","Ouvrir dans l'outil de fusion JetBrains","JetBrains マージツールで開く","JetBrains 병합 도구에서 열기","Otwórz w narzędziu scalania JetBrains","Abrir na ferramenta de merge JetBrains","Abrir na ferramenta de merge JetBrains","Открыть в инструменте слияния JetBrains","在 JetBrains 合并工具中打开","在 JetBrains 合併工具中開啟"
"manifest","package.nls.json","command.acceptYours","","","Accept Yours","VS Code command palette/menu command label.","","","Eigene Version übernehmen","Aceptar tu versión","Accepter votre version","自分側を採用","내 버전 수락","Zaakceptuj swoją wersję","Aceitar sua versão","Aceitar a sua versão","Принять свою версию","接受你的版本","接受你的版本"
"manifest","package.nls.json","command.acceptTheirs","","","Accept Theirs","VS Code command palette/menu command label.","","","Fremde Version übernehmen","Aceptar su versión","Accepter leur version","相手側を採用","상대 버전 수락","Zaakceptuj ich wersję","Aceitar a versão deles","Aceitar a versão deles","Принять их версию","接受对方版本","接受對方版本"
"manifest","package.nls.json","command.openConflictSession","","","Open Conflict Session","VS Code command palette/menu command label.","","","Konfliktsitzung öffnen","Abrir sesión de conflictos","Ouvrir la session de conflits","競合セッションを開く","충돌 세션 열기","Otwórz sesję konfliktów","Abrir sessão de conflitos","Abrir sessão de conflitos","Открыть сеанс конфликтов","打开冲突会话","開啟衝突工作階段"
"manifest","package.nls.json","command.toggleUndockedWindow","","","Toggle Undocked Window","VS Code command palette/menu command label.","","","Abgedocktes Fenster umschalten","Alternar ventana desacoplada","Basculer la fenêtre détachée","ドッキング解除ウィンドウを切り替え","도킹 해제 창 전환","Przełącz oddokowane okno","Alternar janela desencaixada","Alternar janela desencaixada","Переключить отстыкованное окно","切换未停靠窗口","切換未停駐視窗"
"manifest","package.nls.json","command.cloneRepository","","","Clone Repository","VS Code command palette/menu command label.","","","Repository klonen","Clonar repositorio","Cloner le dépôt","リポジトリをクローン","리포지토리 복제","Sklonuj repozytorium","Clonar repositório","Clonar repositório","Клонировать репозиторий","克隆仓库","複製存放庫"
"manifest","package.nls.json","command.openFolder","","","Open Folder","VS Code command palette/menu command label.","","","Ordner öffnen","Abrir carpeta","Ouvrir le dossier","フォルダーを開く","폴더 열기","Otwórz folder","Abrir pasta","Abrir pasta","Открыть папку","打开文件夹","開啟資料夾"
"manifest","package.nls.json","command.initializeRepository","","","Initialize Repository","VS Code command palette/menu command label.","","","Repository initialisieren","Inicializar repositorio","Initialiser le dépôt","リポジトリを初期化","리포지토리 초기화","Zainicjuj repozytorium","Inicializar repositório","Inicializar repositório","Инициализировать репозиторий","初始化仓库","初始化存放庫"
"manifest","package.nls.json","command.publishBranch","","","Publish Branch","VS Code command palette/menu command label.","","Branch","Branch veröffentlichen","Publicar rama","Publier la branche","ブランチを公開","브랜치 게시","Opublikuj gałąź","Publicar branch","Publicar ramo","Опубликовать ветку","发布分支","發佈分支"
"manifest","package.nls.json","configuration.jetbrainsMergeTool.path.markdownDescription","","","JetBrains IDE binary path/command (`pycharm`, `idea`, `webstorm`) or a macOS `.app` bundle path. IntelliGit auto-resolves `.app` bundles to the executable inside `Contents/MacOS`.","VS Code settings UI label, enum label, or markdown description.","","IntelliGit; JetBrains; IDE","Binärpfad/Befehl der JetBrains-IDE (`pycharm`, `idea`, `webstorm`) oder Pfad zu einem macOS-`.app`-Bundle. IntelliGit löst `.app`-Bundles automatisch zur ausführbaren Datei in `Contents/MacOS` auf.","Ruta/comando del binario del IDE de JetBrains (`pycharm`, `idea`, `webstorm`) o ruta de un paquete `.app` de macOS. IntelliGit resuelve automáticamente los paquetes `.app` al ejecutable dentro de `Contents/MacOS`.","Chemin/commande du binaire de l'IDE JetBrains (`pycharm`, `idea`, `webstorm`) ou chemin d'un bundle macOS `.app`. IntelliGit résout automatiquement les bundles `.app` vers l'exécutable dans `Contents/MacOS`.","JetBrains IDE のバイナリパス/コマンド（`pycharm`、`idea`、`webstorm`）、または macOS の `.app` バンドルパス。IntelliGit は `.app` バンドルを `Contents/MacOS` 内の実行ファイルに自動解決します。","JetBrains IDE 바이너리 경로/명령(`pycharm`, `idea`, `webstorm`) 또는 macOS `.app` 번들 경로입니다. IntelliGit은 `.app` 번들을 `Contents/MacOS` 내부의 실행 파일로 자동 확인합니다.","Ścieżka/polecenie pliku binarnego IDE JetBrains (`pycharm`, `idea`, `webstorm`) albo ścieżka pakietu macOS `.app`. IntelliGit automatycznie rozwiązuje pakiety `.app` do pliku wykonywalnego w `Contents/MacOS`.","Caminho/comando do binário da IDE JetBrains (`pycharm`, `idea`, `webstorm`) ou caminho de um pacote macOS `.app`. O IntelliGit resolve automaticamente pacotes `.app` para o executável dentro de `Contents/MacOS`.","Caminho/comando do binário do IDE JetBrains (`pycharm`, `idea`, `webstorm`) ou caminho de um pacote macOS `.app`. O IntelliGit resolve automaticamente pacotes `.app` para o executável dentro de `Contents/MacOS`.","Путь/команда бинарного файла IDE JetBrains (`pycharm`, `idea`, `webstorm`) или путь к пакету macOS `.app`. IntelliGit автоматически разрешает пакеты `.app` в исполняемый файл внутри `Contents/MacOS`.","JetBrains IDE 二进制文件路径/命令（`pycharm`、`idea`、`webstorm`）或 macOS `.app` 包路径。IntelliGit 会自动将 `.app` 包解析为 `Contents/MacOS` 内的可执行文件。","JetBrains IDE 二進位檔路徑/命令（`pycharm`、`idea`、`webstorm`）或 macOS `.app` 套件路徑。IntelliGit 會自動將 `.app` 套件解析為 `Contents/MacOS` 內的可執行檔。"
"manifest","package.nls.json","configuration.jetbrainsMergeTool.preferExternal.markdownDescription","","","Prefer the external JetBrains merge tool when opening merge conflicts. Falls back to VS Code's internal merge editor if no JetBrains path is configured or launch fails.","VS Code settings UI label, enum label, or markdown description.","","VS Code; JetBrains; merge","Bevorzugt beim Öffnen von Merge-Konflikten das externe JetBrains-Merge-Tool. Fällt auf den internen Merge-Editor von VS Code zurück, wenn kein JetBrains-Pfad konfiguriert ist oder der Start fehlschlägt.","Prefiere la herramienta externa de fusión de JetBrains al abrir conflictos de fusión. Vuelve al editor de fusión interno de VS Code si no hay una ruta de JetBrains configurada o si falla el inicio.","Préférer l'outil de fusion externe JetBrains lors de l'ouverture des conflits de fusion. Revient à l'éditeur de fusion interne de VS Code si aucun chemin JetBrains n'est configuré ou si le lancement échoue.","マージ競合を開くときに外部 JetBrains マージツールを優先します。JetBrains パスが設定されていない場合、または起動に失敗した場合は、VS Code の内部マージエディターにフォールバックします。","병합 충돌을 열 때 외부 JetBrains 병합 도구를 우선 사용합니다. JetBrains 경로가 구성되지 않았거나 실행에 실패하면 VS Code 내부 병합 편집기로 대체됩니다.","Preferuj zewnętrzne narzędzie scalania JetBrains podczas otwierania konfliktów scalania. Wróci do wewnętrznego edytora scalania VS Code, jeśli ścieżka JetBrains nie jest skonfigurowana lub uruchomienie się nie powiedzie.","Preferir a ferramenta externa de merge JetBrains ao abrir conflitos de merge. Usa o editor de merge interno do VS Code como fallback se nenhum caminho JetBrains estiver configurado ou se a inicialização falhar.","Preferir a ferramenta externa de merge JetBrains ao abrir conflitos de merge. Recorre ao editor de merge interno do VS Code se não houver caminho JetBrains configurado ou se o arranque falhar.","Предпочитать внешний инструмент слияния JetBrains при открытии конфликтов слияния. Возвращается к внутреннему редактору слияния VS Code, если путь JetBrains не настроен или запуск не удался.","打开合并冲突时优先使用外部 JetBrains 合并工具。如果未配置 JetBrains 路径或启动失败，则回退到 VS Code 的内部合并编辑器。","開啟合併衝突時優先使用外部 JetBrains 合併工具。如果未設定 JetBrains 路徑或啟動失敗，則回退到 VS Code 的內建合併編輯器。"
"manifest","package.nls.json","configuration.tooltips.enabled.markdownDescription","","","Enable or disable tooltips inside the IntelliGit window (Commit Graph, Branch Column, etc.).","VS Code settings UI label, enum label, or markdown description.","","IntelliGit; Commit; Branch","Aktiviert oder deaktiviert Tooltips im IntelliGit-Fenster (Commit-Graph, Branch-Spalte usw.).","Activa o desactiva la información sobre herramientas dentro de la ventana de IntelliGit (gráfico de commits, columna de ramas, etc.).","Activer ou désactiver les infobulles dans la fenêtre IntelliGit (graphe des commits, colonne des branches, etc.).","IntelliGit ウィンドウ内（コミットグラフ、ブランチ列など）のツールチップを有効または無効にします。","IntelliGit 창(커밋 그래프, 브랜치 열 등) 안의 도구 설명을 사용하거나 사용하지 않도록 설정합니다.","Włącz lub wyłącz podpowiedzi w oknie IntelliGit (graf commitów, kolumna gałęzi itd.).","Ativar ou desativar dicas de ferramenta dentro da janela do IntelliGit (gráfico de commits, coluna de branches etc.).","Ativar ou desativar dicas de ferramenta dentro da janela IntelliGit (gráfico de commits, coluna de ramos, etc.).","Включить или отключить всплывающие подсказки в окне IntelliGit (граф коммитов, колонка веток и т. д.).","启用或禁用 IntelliGit 窗口内的工具提示（提交图、分支列等）。","啟用或停用 IntelliGit 視窗內的工具提示（提交圖、分支欄等）。"
"manifest","package.nls.json","configuration.undockableWindow.markdownDescription","","","Open IntelliGit as a unified editor tab when Show Git Log is invoked, enabling native VS Code undocking to a second monitor.","VS Code settings UI label, enum label, or markdown description.","","IntelliGit; VS Code; Git","Öffnet IntelliGit als vereinheitlichten Editor-Tab, wenn Git-Protokoll anzeigen aufgerufen wird, und ermöglicht so das native Abdocken von VS Code auf einen zweiten Monitor.","Abre IntelliGit como una pestaña de editor unificada cuando se invoca Mostrar registro de Git, habilitando el desacoplamiento nativo de VS Code a un segundo monitor.","Ouvrir IntelliGit comme un onglet d'éditeur unifié lorsque Afficher le journal Git est appelé, afin d'activer le détachement natif de VS Code vers un second moniteur.","「Git ログを表示」の実行時に IntelliGit を統合エディタータブとして開き、VS Code ネイティブのドッキング解除で 2 台目のモニターへ移動できるようにします。","Git 로그 표시가 호출될 때 IntelliGit을 통합 편집기 탭으로 열어 VS Code의 기본 도킹 해제로 두 번째 모니터에서 사용할 수 있게 합니다.","Otwieraj IntelliGit jako zunifikowaną kartę edytora po wywołaniu Pokaż dziennik Git, umożliwiając natywne oddokowanie VS Code na drugi monitor.","Abrir o IntelliGit como uma aba de editor unificada quando Mostrar log do Git for invocado, habilitando o desencaixe nativo do VS Code para um segundo monitor.","Abrir o IntelliGit como um separador de editor unificado quando Mostrar registo do Git for invocado, permitindo o desencaixe nativo do VS Code para um segundo monitor.","Открывать IntelliGit как единый редакторский таб при вызове команды Показать журнал Git, включая нативное отстыковывание VS Code на второй монитор.","调用“显示 Git 日志”时，将 IntelliGit 作为统一编辑器标签页打开，从而支持 VS Code 原生取消停靠到第二个显示器。","叫用「顯示 Git 記錄」時，將 IntelliGit 作為統一編輯器分頁開啟，以支援 VS Code 原生取消停駐到第二個螢幕。"
"manifest","package.nls.json","configuration.icons.enum.color","","","Use IntelliGit's colored icons (default).","VS Code settings UI label, enum label, or markdown description.","","IntelliGit","Die farbigen Symbole von IntelliGit verwenden (Standard).","Usar los iconos de color de IntelliGit (predeterminado).","Utiliser les icônes colorées d'IntelliGit (par défaut).","IntelliGit のカラーアイコンを使用します（既定）。","IntelliGit의 컬러 아이콘을 사용합니다(기본값).","Używaj kolorowych ikon IntelliGit (domyślnie).","Usar os ícones coloridos do IntelliGit (padrão).","Utilizar os ícones coloridos do IntelliGit (predefinição).","Использовать цветные значки IntelliGit (по умолчанию).","使用 IntelliGit 的彩色图标（默认）。","使用 IntelliGit 的彩色圖示（預設）。"
"manifest","package.nls.json","configuration.icons.enum.standard","","","Use VS Code's monochromatic icon style, consistent with built-in panels.","VS Code settings UI label, enum label, or markdown description.","","VS Code","Den monochromen Symbolstil von VS Code verwenden, konsistent mit integrierten Bereichen.","Usar el estilo de iconos monocromático de VS Code, coherente con los paneles integrados.","Utiliser le style d'icônes monochrome de VS Code, cohérent avec les panneaux intégrés.","VS Code の組み込みパネルと一貫した単色アイコンスタイルを使用します。","기본 제공 패널과 일관된 VS Code의 단색 아이콘 스타일을 사용합니다.","Używaj monochromatycznego stylu ikon VS Code, spójnego z wbudowanymi panelami.","Usar o estilo de ícones monocromático do VS Code, consistente com os painéis internos.","Utilizar o estilo de ícones monocromático do VS Code, consistente com os painéis integrados.","Использовать монохромный стиль значков VS Code, согласованный со встроенными панелями.","使用 VS Code 的单色图标样式，与内置面板保持一致。","使用 VS Code 的單色圖示樣式，與內建面板一致。"
"manifest","package.nls.json","configuration.icons.markdownDescription","","","Icon style for the IntelliGit commit panel. `standard` uses VS Code's monochromatic icon foreground (default); `color` uses IntelliGit's coloured icons.","VS Code settings UI label, enum label, or markdown description.","","IntelliGit; VS Code; commit","Symbolstil für das IntelliGit-Commit-Panel. `standard` verwendet die monochrome Symbolvordergrundfarbe von VS Code (Standard); `color` verwendet die farbigen Symbole von IntelliGit.","Estilo de iconos para el panel de commits de IntelliGit. `standard` usa el primer plano de iconos monocromático de VS Code (predeterminado); `color` usa los iconos de color de IntelliGit.","Style d'icônes du panneau de commits IntelliGit. `standard` utilise la couleur de premier plan monochrome des icônes de VS Code (par défaut) ; `color` utilise les icônes colorées d'IntelliGit.","IntelliGit コミットパネルのアイコンスタイル。`standard` は VS Code の単色アイコン前景色を使用します（既定）。`color` は IntelliGit のカラーアイコンを使用します。","IntelliGit 커밋 패널의 아이콘 스타일입니다. `standard`는 VS Code의 단색 아이콘 전경색을 사용합니다(기본값). `color`는 IntelliGit의 컬러 아이콘을 사용합니다.","Styl ikon panelu commitów IntelliGit. `standard` używa monochromatycznego koloru pierwszego planu ikon VS Code (domyślnie); `color` używa kolorowych ikon IntelliGit.","Estilo de ícones para o painel de commits do IntelliGit. `standard` usa o primeiro plano monocromático dos ícones do VS Code (padrão); `color` usa os ícones coloridos do IntelliGit.","Estilo de ícones para o painel de commits do IntelliGit. `standard` utiliza a cor de primeiro plano monocromática dos ícones do VS Code (predefinição); `color` utiliza os ícones coloridos do IntelliGit.","Стиль значков для панели коммитов IntelliGit. `standard` использует монохромный цвет переднего плана значков VS Code (по умолчанию); `color` использует цветные значки IntelliGit.","IntelliGit 提交面板的图标样式。`standard` 使用 VS Code 的单色图标前景色（默认）；`color` 使用 IntelliGit 的彩色图标。","IntelliGit 提交面板的圖示樣式。`standard` 使用 VS Code 的單色圖示前景色（預設）；`color` 使用 IntelliGit 的彩色圖示。"
"manifest","package.nls.json","configuration.commitWindowPosition.enum.auto","","","Follow VS Code's `workbench.sideBar.location` setting (default).","VS Code settings UI label, enum label, or markdown description.","","VS Code","Der VS Code-Einstellung `workbench.sideBar.location` folgen (Standard).","Seguir el ajuste `workbench.sideBar.location` de VS Code (predeterminado).","Suivre le paramètre `workbench.sideBar.location` de VS Code (par défaut).","VS Code の `workbench.sideBar.location` 設定に従います（既定）。","VS Code의 `workbench.sideBar.location` 설정을 따릅니다(기본값).","Postępuj zgodnie z ustawieniem VS Code `workbench.sideBar.location` (domyślnie).","Seguir a configuração `workbench.sideBar.location` do VS Code (padrão).","Seguir a definição `workbench.sideBar.location` do VS Code (predefinição).","Следовать настройке VS Code `workbench.sideBar.location` (по умолчанию).","跟随 VS Code 的 `workbench.sideBar.location` 设置（默认）。","跟隨 VS Code 的 `workbench.sideBar.location` 設定（預設）。"
"manifest","package.nls.json","configuration.commitWindowPosition.enum.left","","","Place the commit panel on the left side of the undocked/tabbed window.","VS Code settings UI label, enum label, or markdown description.","","commit","Das Commit-Panel links im abgedockten/getabbten IntelliGit-Fenster platzieren.","Colocar el panel de commits en el lado izquierdo de la ventana desacoplada/en pestaña de IntelliGit.","Placer le panneau de commits à gauche de la fenêtre IntelliGit détachée/en onglet.","コミットパネルをドッキング解除/タブ化された IntelliGit ウィンドウの左側に配置します。","도킹 해제/탭 IntelliGit 창의 왼쪽에 커밋 패널을 배치합니다.","Umieść panel commitów po lewej stronie oddokowanego/zakładkowego okna IntelliGit.","Colocar o painel de commits no lado esquerdo da janela do IntelliGit desencaixada/em aba.","Colocar o painel de commits no lado esquerdo da janela IntelliGit desencaixada/em separador.","Разместить панель коммитов слева в отстыкованном/табовом окне IntelliGit.","将提交面板放在未停靠/标签页 IntelliGit 窗口的左侧。","將提交面板放在未停駐/分頁 IntelliGit 視窗的左側。"
